种子ID,星区数量,磁石总数,蓝巨星总数,0型恒星总数,星系数据1,星系数据2,星系数据3,星系数据4,星系数据5,星系数据6,星系数据7,星系数据8,星系数据9,星系数据10,星系数据11
2952,32,2,0,1,初始星系κ Canum Venaticorum;卫星3;潮汐0;冰巨星1;黑石盐滩1;灰烬冻土1;;最大重氢0.000;光度0.9910;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
16095,32,6,0,1,初始星系Zosma;卫星3;潮汐0;冰巨星1;灰烬冻土1;干旱荒漠1;;最大重氢0.000;光度0.9830;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
24975,32,8,0,1,初始星系Kabeleced;卫星3;潮汐0;冰巨星1;猩红冰湖1;干旱荒漠1;;最大重氢0.000;光度0.9690;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
28679,32,8,0,1,初始星系Chara;卫星3;潮汐0;气态巨星1;灰烬冻土1;干旱荒漠1;;最大重氢0.034;光度0.9750;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
32653,32,3,0,1,初始星系Achernar;卫星3;潮汐0;气态巨星1;灰烬冻土1;猩红冰湖1;;最大重氢0.038;光度0.9730;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
35126,32,4,1,3,初始星系Rasalas;卫星3;潮汐0;冰巨星1;灰烬冻土1;黑石盐滩1;;最大重氢0.000;光度0.9730;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
35333,32,16,0,2,初始星系Zeta Pyxidis;卫星3;潮汐0;气态巨星1;灰烬冻土1;戈壁1;;最大重氢0.034;光度0.9840;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
51846,32,5,1,1,初始星系Girtab;卫星3;潮汐0;冰巨星1;灰烬冻土1;戈壁1;;最大重氢0.000;光度0.9850;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
58293,32,16,0,1,初始星系Theta Lupi;卫星3;潮汐0;气态巨星1;灰烬冻土1;干旱荒漠1;;最大重氢0.034;光度0.9830;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
61342,32,5,1,1,初始星系AsellusPrimus;卫星3;潮汐0;气态巨星1;黑石盐滩1;灰烬冻土1;;最大重氢0.033;光度0.9890;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
62981,32,8,0,1,初始星系Salm;卫星3;潮汐0;冰巨星1;干旱荒漠1;灰烬冻土1;;最大重氢0.000;光度0.9760;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
98117,32,5,0,2,初始星系Delta Cygni;卫星3;潮汐0;气态巨星1;黑石盐滩1;灰烬冻土1;;最大重氢0.032;光度0.9890;初始距离0.0;戴森球不包括1号行星;不包括第二行星;磁石：0;有水;没有硫酸(0号必须条件的第0个星系数据),,,,,,,,,,
